"ITTER107","Territorio","TIPO_DATO_PIL_SEC2010","Tipo aggregato","VAL","Valutazione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITCD","Nord","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",880603.5,,
"ITCD","Nord","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",103160.3,,
"ITCD","Nord","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",105154.9,,
"ITCD","Nord","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",100572.7,,
"ITCD","Nord","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",102837.5,,
"ITC","Nord-ovest","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",574127.6,,
"ITC","Nord-ovest","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",582830.5,,
"ITC","Nord-ovest","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",571575.5,,
"ITC","Nord-ovest","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",578379.7,,
"ITC","Nord-ovest","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",512839,,
"ITC","Nord-ovest","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",520416.3,,
"ITC","Nord-ovest","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",511652.4,,
"ITC","Nord-ovest","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",517341,,
"ITC","Nord-ovest","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",61288.6,,
"ITC","Nord-ovest","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",62414.2,,
"ITC","Nord-ovest","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",59923.1,,
"ITC","Nord-ovest","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",61038.7,,
"ITC1","Piemonte","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",134709.9,,
"ITC1","Piemonte","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",137488.2,,
"ITC1","Piemonte","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",134362.9,,
"ITC1","Piemonte","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",136477.9,,
"ITC1","Piemonte","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",120688.7,,
"ITC1","Piemonte","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",123174.3,,
"ITC1","Piemonte","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",120712.5,,
"ITC1","Piemonte","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",122479.4,,
"ITC1","Piemonte","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",14021.2,,
"ITC1","Piemonte","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",14313.9,,
"ITC1","Piemonte","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",13650.4,,
"ITC1","Piemonte","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",13998.5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",4785.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",4902,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",4741.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",4842.9,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",4283.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",4390.2,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",4250.6,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",4342.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",502,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",511.8,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",490.8,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",500.5,,
"ITC3","Liguria","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",49284.9,,
"ITC3","Liguria","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",50109.1,,
"ITC3","Liguria","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",48852.5,,
"ITC3","Liguria","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",49674.1,,
"ITC3","Liguria","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",44027.2,,
"ITC3","Liguria","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",44754.3,,
"ITC3","Liguria","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",43709.2,,
"ITC3","Liguria","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",44437.3,,
"ITC3","Liguria","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",5257.7,,
"ITC3","Liguria","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",5354.9,,
"ITC3","Liguria","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",5143.3,,
"ITC3","Liguria","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",5236.9,,
"ITC4","Lombardia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",385347.5,,
"ITC4","Lombardia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",390331.2,,
"ITC4","Lombardia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",383618.7,,
"ITC4","Lombardia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",387384.8,,
"ITC4","Lombardia","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",343839.8,,
"ITC4","Lombardia","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",348097.6,,
"ITC4","Lombardia","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",342980.1,,
"ITC4","Lombardia","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",346081.9,,
"ITC4","Lombardia","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",41507.8,,
"ITC4","Lombardia","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",42233.6,,
"ITC4","Lombardia","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",40638.6,,
"ITC4","Lombardia","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",41302.9,,
"ITD","Nord-est","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",399655.6,,
"ITD","Nord-est","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",408531.7,,
"ITD","Nord-est","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",397326.8,,
"ITD","Nord-est","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",405061.4,,
"ITD","Nord-est","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",357783.9,,
"ITD","Nord-est","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",365791,,
"ITD","Nord-est","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",356677.2,,
"ITD","Nord-est","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",363262.6,,
"ITD","Nord-est","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",41871.7,,
"ITD","Nord-est","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",42740.7,,
"ITD","Nord-est","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",40649.6,,
"ITD","Nord-est","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",41798.8,,
"ITDA","Trentino Alto Adige / Südtirol","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",44299.1,,
"ITDA","Trentino Alto Adige / Südtirol","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",45515,,
"ITDA","Trentino Alto Adige / Südtirol","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",43739.7,,
"ITDA","Trentino Alto Adige / Südtirol","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",44922.6,,
"ITDA","Trentino Alto Adige / Südtirol","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",39650.6,,
"ITDA","Trentino Alto Adige / Südtirol","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",40771.7,,
"ITDA","Trentino Alto Adige / Südtirol","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",39257.3,,
"ITDA","Trentino Alto Adige / Südtirol","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",40283.8,,
"ITDA","Trentino Alto Adige / Südtirol","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",4648.5,,
"ITDA","Trentino Alto Adige / Südtirol","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",4743.3,,
